,Code,Product label,,,,,,,,,,,,HS6Desc,BEC5Code1
0,0,All products,,,,,,,,,,,,,
1,270900,"Petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,,,,,,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",2111
2,271111,"Natural gas, liquefied",,,,,,,,,,,,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",213101
3,854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",,,,,,,,,,,,"Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",611220
4,271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",,,,,,,,,,,,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations",213101
5,854232,Electronic integrated circuits as memories,,,,,,,,,,,,Electronic integrated circuits; memories,611220
6,848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,,,,,,,,,,,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,612020
7,270112,"Bituminous coal, whether or not pulverised, non-agglomerated",,,,,,,,,,,,"Coal; bituminous, whether or not pulverised, but not agglomerated",2111
8,260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),,,,,,,,,,,,Iron ores and concentrates; non-agglomerated,2111
9,854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",,,,,,,,,,,,Electronic integrated circuits; n.e.c. in heading no. 8542,611220
10,260300,Copper ores and concentrates,,,,,,,,,,,,Copper ores and concentrates,2111
11,851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",,,,,,,,,,,,Telephones for cellular networks or for other wireless networks,613202
12,847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,,,,,,,,,,,,"Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471",611220
13,851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",,,,,,,,,,,,"Telephone sets and other apparatus for the transmission or reception of voice, images or other data, via a wired or wireless network; parts",611220
14,870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",,,,,,,,,,,,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",513202
15,271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",,,,,,,,,,,,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations",213101
16,847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",,,,,,,,,,,,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",612020
17,848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,,,,,,,,,,,,Machines and apparatus of heading 8486; parts and accessories,612020
18,271112,"Propane, liquefied",,,,,,,,,,,,"Petroleum gases and other gaseous hydrocarbons; liquefied, propane",213101
19,300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",,,,,,,,,,,,"Medicaments; consisting of mixed or unmixed products n.e.c. in heading no. 3004, for therapeutic or prophylactic uses, packaged for retail sale",711220
20,852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",,,,,,,,,,,,"Reception and transmission apparatus; for use with the apparatus of heading no. 8525 to 8528, excluding aerials and aerial reflectors",611220
21,854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",,,,,,,,,,,,"Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)",611220
22,851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",,,,,,,,,,,,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",612020
23,850760,Lithium-ion accumulators (excluding spent),,,,,,,,,,,,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",511220
24,100590,Maize (excluding seed for sowing),,,,,,,,,,,,"Cereals; maize (corn), other than seed",1111
25,870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",,,,,,,,,,,,"Vehicles; with both spark-ignition internal combustion reciprocating piston engine and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",513202
26,853400,Printed circuits,,,,,,,,,,,,Circuits; printed,3112
27,760110,"Aluminium, not alloyed, unwrought",,,,,,,,,,,,"Aluminium; unwrought, (not alloyed)",311210
28,740311,"Copper, refined, in the form of cathodes and sections of cathodes",,,,,,,,,,,,"Copper; refined, unwrought, cathodes and sections of cathodes",311210
29,282590,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s.",,,,,,,,,,,,"Inorganic bases, metal oxides, hydroxides and peroxides; n.e.c. in heading no. 2825",211220
30,740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",,,,,,,,,,,,Copper; waste and scrap,311220
31,852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",,,,,,,,,,,,"Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37",611220
32,260700,Lead ores and concentrates,,,,,,,,,,,,Lead ores and concentrates,2111
