HS,BEC17
10121,712010
10129,1111
10130,1111
10190,1111
10221,112010
10229,1111
10231,112010
10239,1111
10290,1111
10310,112010
10391,1111
10392,1111
10410,1111
10420,1111
10511,1111
10512,1111
10513,1111
10514,1111
10515,1111
10594,1111
10599,1111
10611,1111
10612,1111
10613,1111
10614,1111
10619,1111
10620,1111
10631,1111
10632,1111
10633,1111
10639,1111
10641,1111
10649,1111
10690,1111
20110,111210
20120,113101
20130,113101
20210,111210
20220,113101
20230,113101
20311,111210
20312,113101
20319,113101
20321,111210
20322,113101
20329,113101
20410,111210
20421,111210
20422,113101
20423,113101
20430,111210
20441,111210
20442,113101
20443,113101
20450,113101
20500,111210
20610,113101
20621,113101
20622,113101
20629,113101
20630,113101
20641,113101
20649,113101
20680,113101
20690,113101
20711,113101
20712,113101
20713,113101
20714,113101
20724,113101
20725,113101
20726,113101
20727,113101
20741,113101
20742,113101
20743,113101
20744,113101
20745,113101
20751,113101
20752,113101
20753,113101
20754,113101
20755,113101
20760,113101
20810,113101
20830,113101
20840,113101
20850,113101
20860,113101
20890,113101
20910,111210
20990,111210
21011,113101
21012,113101
21019,113101
21020,113101
21091,113101
21092,113101
21093,113101
21099,113101
30111,713101
30119,713101
30191,713101
30192,713101
30193,713101
30194,713101
30195,713101
30199,713101
30211,113101
30213,113101
30214,113101
30219,113101
30221,113101
30222,113101
30223,113101
30224,113101
30229,113101
30231,113101
30232,113101
30233,113101
30234,113101
30235,113101
30236,113101
30239,113101
30241,113101
30242,113101
30243,113101
30244,113101
30245,113101
30246,113101
30247,113101
30249,113101
30251,113101
30252,113101
30253,113101
30254,113101
30255,113101
30256,113101
30259,113101
30271,113101
30272,113101
30273,113101
30274,113101
30279,113101
30281,113101
30282,113101
30283,113101
30284,113101
30285,113101
30289,113101
30291,113101
30292,113101
30299,113101
30311,113101
30312,113101
30313,113101
30314,113101
30319,113101
30323,113101
30324,113101
30325,113101
30326,113101
30329,113101
30331,113101
30332,113101
30333,113101
30334,113101
30339,113101
30341,113101
30342,113101
30343,113101
30344,113101
30345,113101
30346,113101
30349,113101
30351,113101
30353,113101
30354,113101
30355,113101
30356,113101
30357,113101
30359,113101
30363,113101
30364,113101
30365,113101
30366,113101
30367,113101
30368,113101
30369,113101
30381,113101
30382,113101
30383,113101
30384,113101
30389,113101
30391,113101
30392,113101
30399,113101
30431,113101
30432,113101
30433,113101
30439,113101
30441,113101
30442,113101
30443,113101
30444,113101
30445,113101
30446,113101
30447,113101
30448,113101
30449,113101
30451,113101
30452,113101
30453,113101
30454,113101
30455,113101
30456,113101
30457,113101
30459,113101
30461,113101
30462,113101
30463,113101
30469,113101
30471,113101
30472,113101
30473,113101
30474,113101
30475,113101
30479,113101
30481,113101
30482,113101
30483,113101
30484,113101
30485,113101
30486,113101
30487,113101
30488,113101
30489,113101
30491,113101
30492,113101
30493,113101
30494,113101
30495,113101
30496,113101
30497,113101
30499,113101
30510,111210
30520,113101
30531,113101
30532,113101
30539,113101
30541,113101
30542,113101
30543,113101
30544,113101
30549,113101
30551,113101
30552,113101
30553,113101
30554,113101
30559,113101
30561,113101
30562,113101
30563,113101
30564,113101
30569,113101
30571,113101
30572,113101
30579,113101
30611,113101
30612,113101
30614,113101
30615,113101
30616,113101
30617,113101
30619,113101
30631,113101
30632,113101
30633,113101
30634,113101
30635,113101
30636,113101
30639,113101
30691,113101
30692,113101
30693,113101
30694,113101
30695,113101
30699,113101
30711,113101
30712,113101
30719,113101
